code,description,label
6C40.Z,"Trastornos debidos al uso de alcohol, sin especificación","6C40.Z - Trastornos debidos al uso de alcohol, sin especificación"
6C41,Trastornos debidos al uso de cannabis,6C41 - Trastornos debidos al uso de cannabis
6C41.0,Episodio de uso nocivo de cannabis,6C41.0 - Episodio de uso nocivo de cannabis
6C41.1,Patrón nocivo de uso de cannabis,6C41.1 - Patrón nocivo de uso de cannabis
6C41.10,"Patrón nocivo de uso de cannabis, episódico","6C41.10 - Patrón nocivo de uso de cannabis, episódico"
6C41.11,"Patrón nocivo de uso de cannabis, continuo","6C41.11 - Patrón nocivo de uso de cannabis, continuo"
6C41.1Z,"Patrón nocivo de uso de cannabis, sin especificación","6C41.1Z - Patrón nocivo de uso de cannabis, sin especificación"
6C41.2,Dependencia de cannabis,6C41.2 - Dependencia de cannabis
6C41.20,"Dependencia de cannabis, consumo actual","6C41.20 - Dependencia de cannabis, consumo actual"
6C41.21,"Dependencia de cannabis, remisión completa temprana","6C41.21 - Dependencia de cannabis, remisión completa temprana"
6C41.22,"Dependencia del cannabis, remisión parcial prolongada","6C41.22 - Dependencia del cannabis, remisión parcial prolongada"
6C41.23,"Dependencia del cannabis, remisión completa prolongada","6C41.23 - Dependencia del cannabis, remisión completa prolongada"
6C41.2Z,"Dependencia del cannabis, sin especificación","6C41.2Z - Dependencia del cannabis, sin especificación"
6C41.3,Intoxicación por cannabis,6C41.3 - Intoxicación por cannabis
6C41.4,Síndrome de abstinencia de cannabis,6C41.4 - Síndrome de abstinencia de cannabis
6C41.5,Delirium inducido por el uso de cannabis,6C41.5 - Delirium inducido por el uso de cannabis
6C41.6,Trastorno psicótico inducido por el uso de cannabis,6C41.6 - Trastorno psicótico inducido por el uso de cannabis
6C41.7,Ciertos trastornos mentales o del comportamiento específicos inducidos por cannabis,6C41.7 - Ciertos trastornos mentales o del comportamiento específicos inducidos por cannabis
6C41.70,Trastorno del estado del ánimo inducido por el uso de cannabis,6C41.70 - Trastorno del estado del ánimo inducido por el uso de cannabis
6C41.71,Trastorno de ansiedad inducido por el consumo de cannabis,6C41.71 - Trastorno de ansiedad inducido por el consumo de cannabis
6C41.Y,Otros trastornos especificados debidos al uso de cannabis,6C41.Y - Otros trastornos especificados debidos al uso de cannabis
6C41.Z,"Trastornos debidos al uso de cannabis, sin especificación","6C41.Z - Trastornos debidos al uso de cannabis, sin especificación"
6C42,Trastornos debidos al uso de canabinoides sintéticos,6C42 - Trastornos debidos al uso de canabinoides sintéticos
6C42.0,Episodio de uso nocivo de canabinoides sintéticos,6C42.0 - Episodio de uso nocivo de canabinoides sintéticos
6C42.1,Patrón nocivo de uso de canabinoides sintéticos,6C42.1 - Patrón nocivo de uso de canabinoides sintéticos
6C42.10,"Patrón nocivo de uso de canabinoides sintéticos, episódico","6C42.10 - Patrón nocivo de uso de canabinoides sintéticos, episódico"
6C42.11,"Patrón nocivo de uso de canabinoides sintéticos, continuo","6C42.11 - Patrón nocivo de uso de canabinoides sintéticos, continuo"
6C42.1Y,Otro patrón nocivo especificado de uso de canabinoides sintéticos,6C42.1Y - Otro patrón nocivo especificado de uso de canabinoides sintéticos
6C42.1Z,"Patrón nocivo de uso de canabinoides sintéticos, sin especificación","6C42.1Z - Patrón nocivo de uso de canabinoides sintéticos, sin especificación"
6C42.2,Dependencia de los canabinoides sintéticos,6C42.2 - Dependencia de los canabinoides sintéticos
6C42.20,"Dependencia de canabinoides sintéticos, uso actual","6C42.20 - Dependencia de canabinoides sintéticos, uso actual"
6C42.21,"Dependencia de canabinoides sintéticos, remisión completa temprana","6C42.21 - Dependencia de canabinoides sintéticos, remisión completa temprana"
6C42.22,"Dependencia de canabinoides sintéticos, remisión parcial prolongada","6C42.22 - Dependencia de canabinoides sintéticos, remisión parcial prolongada"
6C42.23,"Dependencia de canabinoides sintéticos, remisión completa prolongada","6C42.23 - Dependencia de canabinoides sintéticos, remisión completa prolongada"
6C42.2Y,Otra dependencia especificada de canabinoides sintéticos,6C42.2Y - Otra dependencia especificada de canabinoides sintéticos
6C42.2Z,"Dependencia de canabinoides sintéticos, sin especificación","6C42.2Z - Dependencia de canabinoides sintéticos, sin especificación"
6C42.3,Intoxicación por canabinoides sintéticos,6C42.3 - Intoxicación por canabinoides sintéticos
6C42.4,Síndrome de abstinencia de los canabinoides sintéticos,6C42.4 - Síndrome de abstinencia de los canabinoides sintéticos
6C42.5,Delirium inducido por el uso de canabinoides sintéticos,6C42.5 - Delirium inducido por el uso de canabinoides sintéticos
6C42.6,Trastorno psicótico inducido por el uso de canabinoides sintéticos,6C42.6 - Trastorno psicótico inducido por el uso de canabinoides sintéticos
6C42.7,Ciertos trastornos mentales o del comportamiento inducidos por cannabinoides sintéticos especificados,6C42.7 - Ciertos trastornos mentales o del comportamiento inducidos por cannabinoides sintéticos especificados
6C42.70,Trastorno del estado del ánimo inducido por el uso de canabinoides sintéticos,6C42.70 - Trastorno del estado del ánimo inducido por el uso de canabinoides sintéticos
6C42.71,Trastorno de ansiedad inducido por el uso de canabinoides sintéticos,6C42.71 - Trastorno de ansiedad inducido por el uso de canabinoides sintéticos
6C42.Y,Otros trastornos especificados debidos al uso de canabinoides sintéticos,6C42.Y - Otros trastornos especificados debidos al uso de canabinoides sintéticos
