code,description,label
1A00,Cólera,1A00 - Cólera
1A01,Infección intestinal por otro Vibrio,1A01 - Infección intestinal por otro Vibrio
1A02,Infecciones intestinales por Shigella,1A02 - Infecciones intestinales por Shigella
1A03,Infecciones intestinales por Escherichia coli,1A03 - Infecciones intestinales por Escherichia coli
1A03.0,Infección por Escherichia coli enteropatógena,1A03.0 - Infección por Escherichia coli enteropatógena
1A03.1,infección por Escherichia coli enteropatógena,1A03.1 - infección por Escherichia coli enteropatógena
1A03.2,Infección por Escherichia coli enteroinvasora,1A03.2 - Infección por Escherichia coli enteroinvasora
1A03.3,Infección por Escherichia coli enterohemorrágica,1A03.3 - Infección por Escherichia coli enterohemorrágica
1A03.Y,Infecciones intestinales especificadas por otra Escherichia coli,1A03.Y - Infecciones intestinales especificadas por otra Escherichia coli
1A03.Z,"Infecciones intestinales debidas a Escherichia coli, sin especificación","1A03.Z - Infecciones intestinales debidas a Escherichia coli, sin especificación"
1A04,Infecciones intestinales por Clostridium difficile,1A04 - Infecciones intestinales por Clostridium difficile
1A05,Infecciones intestinales por Yersinia enterocolítica,1A05 - Infecciones intestinales por Yersinia enterocolítica
1A06,Gastroenteritis por Campylobacter,1A06 - Gastroenteritis por Campylobacter
1A07,Fiebre tifoidea,1A07 - Fiebre tifoidea
1A07.0,Peritonitis tifoidea,1A07.0 - Peritonitis tifoidea
1A07.Y,Otra fiebre tifoidea especificada,1A07.Y - Otra fiebre tifoidea especificada
1A07.Z,"Fiebre tifoidea, sin especificación","1A07.Z - Fiebre tifoidea, sin especificación"
1A08,Fiebre paratifoidea,1A08 - Fiebre paratifoidea
1A09,Infecciones debidas a otra Salmonella,1A09 - Infecciones debidas a otra Salmonella
1A09.0,Enteritis por Salmonella,1A09.0 - Enteritis por Salmonella
1A09.Y,Infecciones debidas a otra Salmonella en otros órganos,1A09.Y - Infecciones debidas a otra Salmonella en otros órganos
1A09.Z,"Infección por otra Salmonella, sin especificación","1A09.Z - Infección por otra Salmonella, sin especificación"
1A0Y,Otras infecciones intestinales bacterianas especificadas,1A0Y - Otras infecciones intestinales bacterianas especificadas
1A0Z,"Infecciones intestinales bacterianas, sin especificación","1A0Z - Infecciones intestinales bacterianas, sin especificación"
1A10,Intoxicación alimentaria estafilocócica,1A10 - Intoxicación alimentaria estafilocócica
1A11,Botulismo,1A11 - Botulismo
1A11.0,Intoxicación alimentaria por toxina botulínica,1A11.0 - Intoxicación alimentaria por toxina botulínica
1A11.1,Otros tipos de botulismo,1A11.1 - Otros tipos de botulismo
1A11.Z,"Botulismo, sin especificación","1A11.Z - Botulismo, sin especificación"
1A12,Intoxicación alimentaria por Clostridium perfringens,1A12 - Intoxicación alimentaria por Clostridium perfringens
1A13,Intoxicación alimentaria por Bacillus cereus,1A13 - Intoxicación alimentaria por Bacillus cereus
1A1Y,Otras intoxicaciones bacterianas alimentarias especificadas,1A1Y - Otras intoxicaciones bacterianas alimentarias especificadas
1A1Z,"Intoxicaciones bacterianas alimentarias, sin especificación","1A1Z - Intoxicaciones bacterianas alimentarias, sin especificación"
1A20,Enteritis por adenovirus,1A20 - Enteritis por adenovirus
1A21,Gastroenteritis debida a astrovirus,1A21 - Gastroenteritis debida a astrovirus
1A22,Gastroenteritis por Rotavirus,1A22 - Gastroenteritis por Rotavirus
1A23,Enteritis por Norovirus,1A23 - Enteritis por Norovirus
1A24,Infecciones intestinales por Cytomegalovirus,1A24 - Infecciones intestinales por Cytomegalovirus
1A2Y,Otras virosis intestinales especificadas,1A2Y - Otras virosis intestinales especificadas
1A2Z,"Virosis intestinales, sin especificación","1A2Z - Virosis intestinales, sin especificación"
1A30,Infecciones por Balantidium coli,1A30 - Infecciones por Balantidium coli
1A31,Giardiasis,1A31 - Giardiasis
1A32,Criptosporidiosis,1A32 - Criptosporidiosis
1A33,Cistoisosporiasis,1A33 - Cistoisosporiasis
1A33.0,Cistoisosporiasis del intestino delgado,1A33.0 - Cistoisosporiasis del intestino delgado
1A33.1,Cistoisosporiasis del colon,1A33.1 - Cistoisosporiasis del colon
1A33.Y,Otras infecciones especificadas por Cystoisospora,1A33.Y - Otras infecciones especificadas por Cystoisospora
1A33.Z,"Infecciones por Cystoisospora, sin especificación","1A33.Z - Infecciones por Cystoisospora, sin especificación"
1A34,Sarcocistosis,1A34 - Sarcocistosis
1A35,Blastocistosis,1A35 - Blastocistosis
1A36,Amebiasis,1A36 - Amebiasis
1A36.0,Infecciones intestinales por Entamoeba,1A36.0 - Infecciones intestinales por Entamoeba
1A36.00,Amebiasis aguda,1A36.00 - Amebiasis aguda
1A36.01,Ameboma del intestino,1A36.01 - Ameboma del intestino
1A36.0Y,Otro(a)(s) infecciones intestinales por Entamoeba especificado(a)(s),1A36.0Y - Otro(a)(s) infecciones intestinales por Entamoeba especificado(a)(s)
1A36.0Z,"Infecciones intestinales por Entamoeba, sin especificación","1A36.0Z - Infecciones intestinales por Entamoeba, sin especificación"
1A36.1,Infecciones extraintestinales por Entamoeba,1A36.1 - Infecciones extraintestinales por Entamoeba
1A36.10,Absceso amebiano del hígado,1A36.10 - Absceso amebiano del hígado
1A36.11,Absceso amebiano del pulmón,1A36.11 - Absceso amebiano del pulmón
1A36.12,Amebiasis cutánea,1A36.12 - Amebiasis cutánea
1A36.1Y,Amebiasis en otras localizaciones especificadas,1A36.1Y - Amebiasis en otras localizaciones especificadas
1A36.Z,"Amebiasis, sin especificación","1A36.Z - Amebiasis, sin especificación"
1A3Y,Otras infecciones intestinales especificadas por protozoarios,1A3Y - Otras infecciones intestinales especificadas por protozoarios
1A3Z,"Infecciones intestinales por protozoarios, sin especificación","1A3Z - Infecciones intestinales por protozoarios, sin especificación"
1A40,Gastroenteritis o colitis sin especificación del agente infeccioso,1A40 - Gastroenteritis o colitis sin especificación del agente infeccioso
1A40.0,Gastroenteritis o colitis sin especificación del origen,1A40.0 - Gastroenteritis o colitis sin especificación del origen
1A40.Z,Gastroenteritis o colitis infecciosa sin especificación del agente infeccioso,1A40.Z - Gastroenteritis o colitis infecciosa sin especificación del agente infeccioso
1A60,Sífilis congénita,1A60 - Sífilis congénita
1A60.0,"Sífilis congénita temprana, sintomática","1A60.0 - Sífilis congénita temprana, sintomática"
1A60.1,"Sífilis congénita temprana, latente","1A60.1 - Sífilis congénita temprana, latente"
1A60.2,Oculopatía sifilítica congénita tardía,1A60.2 - Oculopatía sifilítica congénita tardía
1A60.3,Neurosífilis congénita tardía,1A60.3 - Neurosífilis congénita tardía
1A60.4,"Otra sífilis congénita tardía, sintomática","1A60.4 - Otra sífilis congénita tardía, sintomática"
1A60.5,"Sífilis congénita tardía, latente","1A60.5 - Sífilis congénita tardía, latente"
1A60.Z,"Sífilis congénita, sin especificación","1A60.Z - Sífilis congénita, sin especificación"
1A61,Sífilis temprana,1A61 - Sífilis temprana
1A61.0,Sífilis primaria genital,1A61.0 - Sífilis primaria genital
1A61.1,Sífilis primaria anal,1A61.1 - Sífilis primaria anal
1A61.2,Sífilis primaria de otras localizaciones,1A61.2 - Sífilis primaria de otras localizaciones
1A61.3,Sífilis secundaria de la piel o de las membranas mucosas,1A61.3 - Sífilis secundaria de la piel o de las membranas mucosas
1A61.4,Sífilis secundaria en otras localizaciones,1A61.4 - Sífilis secundaria en otras localizaciones
1A61.5,Sífilis temprana latente,1A61.5 - Sífilis temprana latente
1A61.Y,Otra sífilis temprana especificada,1A61.Y - Otra sífilis temprana especificada
1A61.Z,"Sífilis temprana, sin especificación","1A61.Z - Sífilis temprana, sin especificación"
1A62,Sífilis tardía,1A62 - Sífilis tardía
1A62.0,Neurosífilis,1A62.0 - Neurosífilis
1A62.00,Neurosífilis asintomática,1A62.00 - Neurosífilis asintomática
1A62.01,Neurosífilis tardía sintomática,1A62.01 - Neurosífilis tardía sintomática
1A62.0Z,"Neurosífilis, sin especificación","1A62.0Z - Neurosífilis, sin especificación"
1A62.1,Sífilis tardía cardiovascular,1A62.1 - Sífilis tardía cardiovascular
1A62.2,Sífilis sintomática tardía en otros sitios,1A62.2 - Sífilis sintomática tardía en otros sitios
1A62.20,Sífilis ocular tardía,1A62.20 - Sífilis ocular tardía
1A62.21,Sífilis tardía con afectación del aparato musculoesquelético,1A62.21 - Sífilis tardía con afectación del aparato musculoesquelético
1A62.22,Sífilis tardía de la piel o de las membranas mucosas,1A62.22 - Sífilis tardía de la piel o de las membranas mucosas
1A62.2Y,Otra sífilis sintomática tardía de otros sitios especificados,1A62.2Y - Otra sífilis sintomática tardía de otros sitios especificados
1A62.2Z,Sífilis sintomática tardía de otros sitios sin especificación,1A62.2Z - Sífilis sintomática tardía de otros sitios sin especificación
1A62.Y,Otra sífilis tardía especificada,1A62.Y - Otra sífilis tardía especificada
1A62.Z,"Sífilis tardía, sin especificación","1A62.Z - Sífilis tardía, sin especificación"
1A63,"Sífilis latente, sin especificarse si es temprana o tardía","1A63 - Sífilis latente, sin especificarse si es temprana o tardía"
1A6Z,"Sífilis, sin especificación","1A6Z - Sífilis, sin especificación"
1A70,Infección gonocócica genitourinaria,1A70 - Infección gonocócica genitourinaria
1A70.0,Infección gonocócica del aparato genitourinario inferior sin absceso periuretral o de las glándulas accesorias,1A70.0 - Infección gonocócica del aparato genitourinario inferior sin absceso periuretral o de las glándulas accesorias
1A70.00,Gonorrea del pene,1A70.00 - Gonorrea del pene
1A70.0Y,Otra infección gonocócica especificada del aparato genitourinario inferior sin absceso periuretral o de las glándulas accesorias,1A70.0Y - Otra infección gonocócica especificada del aparato genitourinario inferior sin absceso periuretral o de las glándulas accesorias
1A70.0Z,"Infección gonocócica del aparato genitourinario inferior sin absceso periuretral o de las glándulas accesorias, sin especificación","1A70.0Z - Infección gonocócica del aparato genitourinario inferior sin absceso periuretral o de las glándulas accesorias, sin especificación"
1A70.1,Infección gonocócica del aparato genitourinario inferior con absceso periuretral o de las glándulas accesorias,1A70.1 - Infección gonocócica del aparato genitourinario inferior con absceso periuretral o de las glándulas accesorias
1A70.Y,Otra infección gonocócica genitourinaria especificada,1A70.Y - Otra infección gonocócica genitourinaria especificada
1A70.Z,"Infección gonocócica genitourinaria, sin especificación","1A70.Z - Infección gonocócica genitourinaria, sin especificación"
1A71,Pelviperitonitis gonocócica,1A71 - Pelviperitonitis gonocócica
1A72,Infección gonocócica en otras localizaciones,1A72 - Infección gonocócica en otras localizaciones
1A72.0,Infección gonocócica del sistema musculoesquelético,1A72.0 - Infección gonocócica del sistema musculoesquelético
1A72.1,Infección gonocócica del recto,1A72.1 - Infección gonocócica del recto
1A72.2,Infección gonocócica de ano,1A72.2 - Infección gonocócica de ano
1A72.3,Faringitis gonocócica,1A72.3 - Faringitis gonocócica
1A72.4,Infección gonocócica del ojo,1A72.4 - Infección gonocócica del ojo
1A72.Y,Otra infección gonocócica en otras localizaciones especificadas,1A72.Y - Otra infección gonocócica en otras localizaciones especificadas
1A73,Infección gonocócica diseminada,1A73 - Infección gonocócica diseminada
1A7Z,"Infección gonocócica, sin especificación","1A7Z - Infección gonocócica, sin especificación"
1A80,Linfogranuloma por Chlamydia,1A80 - Linfogranuloma por Chlamydia
1A81,Infección de transmisión sexual no ulcerativa por Chlamydia,1A81 - Infección de transmisión sexual no ulcerativa por Chlamydia
1A81.0,Infección del aparato genitourinario inferior por Chlamydia,1A81.0 - Infección del aparato genitourinario inferior por Chlamydia
1A81.1,Infección de los órganos reproductores internos por Chlamydia,1A81.1 - Infección de los órganos reproductores internos por Chlamydia
1A81.Y,Otra infección clamidial no ulcerativa de transmisión sexual especificada,1A81.Y - Otra infección clamidial no ulcerativa de transmisión sexual especificada
1A81.Z,"Infección clamidial no ulcerativa de transmisión sexual, sin especificación","1A81.Z - Infección clamidial no ulcerativa de transmisión sexual, sin especificación"
1A8Y,Otras infecciones especificadas de transmisión sexual por Chlamydia,1A8Y - Otras infecciones especificadas de transmisión sexual por Chlamydia
1A8Z,"Infecciones de transmisión sexual por Chlamydia, sin especificación","1A8Z - Infecciones de transmisión sexual por Chlamydia, sin especificación"
1A90,Chancroide,1A90 - Chancroide
1A91,Granuloma inguinal,1A91 - Granuloma inguinal
1A92,Tricomoniasis,1A92 - Tricomoniasis
1A93,Infestaciones transmitidas sexualmente,1A93 - Infestaciones transmitidas sexualmente
1A94,Infección anogenital por herpes simple,1A94 - Infección anogenital por herpes simple
1A94.0,Infección genital o urogenital por herpes simple,1A94.0 - Infección genital o urogenital por herpes simple
1A94.1,Infección perianal y rectal por herpes simple,1A94.1 - Infección perianal y rectal por herpes simple
1A94.Z,"Infección anogenital por herpes simple, sin especificación","1A94.Z - Infección anogenital por herpes simple, sin especificación"
1A95,Verrugas anogenitales,1A95 - Verrugas anogenitales
1A95.0,Verrugas anales,1A95.0 - Verrugas anales
1A95.1,Verrugas genitales,1A95.1 - Verrugas genitales
1A95.2,Condilomas acuminados extragenitales,1A95.2 - Condilomas acuminados extragenitales
1A95.Z,"Verrugas anogenitales, sin especificación","1A95.Z - Verrugas anogenitales, sin especificación"
1A9Y,Otras infecciones especificadas de transmisión predominantemente sexual,1A9Y - Otras infecciones especificadas de transmisión predominantemente sexual
1A9Z,"Infecciones de transmisión predominantemente sexual, sin especificación","1A9Z - Infecciones de transmisión predominantemente sexual, sin especificación"
1B10,Tuberculosis del sistema respiratorio,1B10 - Tuberculosis del sistema respiratorio
1B10.0,"Tuberculosis respiratoria, confirmada","1B10.0 - Tuberculosis respiratoria, confirmada"
1B10.1,"Tuberculosis respiratoria, no confirmada","1B10.1 - Tuberculosis respiratoria, no confirmada"
1B10.Z,"Tuberculosis respiratoria, sin mención de confirmación bacteriológica o histológica","1B10.Z - Tuberculosis respiratoria, sin mención de confirmación bacteriológica o histológica"
1B11,Tuberculosis del sistema nervioso,1B11 - Tuberculosis del sistema nervioso
1B11.0,Meningitis tuberculosa,1B11.0 - Meningitis tuberculosa
1B11.1,Meningoencefalitis tuberculosa,1B11.1 - Meningoencefalitis tuberculosa
1B11.2,Tuberculoma meníngeo,1B11.2 - Tuberculoma meníngeo
1B11.3,Granuloma tuberculoso del cerebro,1B11.3 - Granuloma tuberculoso del cerebro
1B11.Y,Otra tuberculosis especificada del sistema nervioso,1B11.Y - Otra tuberculosis especificada del sistema nervioso
1B11.Z,"Tuberculosis del sistema nervioso, sin especificación","1B11.Z - Tuberculosis del sistema nervioso, sin especificación"
1B12,Tuberculosis de otros sistemas y órganos,1B12 - Tuberculosis de otros sistemas y órganos
1B12.0,Tuberculosis cardíaca,1B12.0 - Tuberculosis cardíaca
1B12.1,Tuberculosis del ojo,1B12.1 - Tuberculosis del ojo
1B12.2,Tuberculosis del oído,1B12.2 - Tuberculosis del oído
1B12.3,Tuberculosis de las glándulas endocrinas,1B12.3 - Tuberculosis de las glándulas endocrinas
1B12.4,Tuberculosis del sistema musculoesquelético,1B12.4 - Tuberculosis del sistema musculoesquelético
1B12.40,Tuberculosis de los huesos o las articulaciones,1B12.40 - Tuberculosis de los huesos o las articulaciones
1B12.41,Miositis tuberculosa,1B12.41 - Miositis tuberculosa
1B12.4Y,Otra tuberculosis especificada del sistema musculoesquelético,1B12.4Y - Otra tuberculosis especificada del sistema musculoesquelético
1B12.4Z,"Tuberculosis del sistema musculoesquelético, sin especificación","1B12.4Z - Tuberculosis del sistema musculoesquelético, sin especificación"
1B12.5,Tuberculosis del aparato genitourinario,1B12.5 - Tuberculosis del aparato genitourinario
1B12.6,Linfadenopatía periférica tuberculosa,1B12.6 - Linfadenopatía periférica tuberculosa
1B12.7,Tuberculosis del aparato digestivo,1B12.7 - Tuberculosis del aparato digestivo
1B12.8,Tuberculosis cutánea,1B12.8 - Tuberculosis cutánea
1B12.Y,Otra tuberculosis de otros sistemas u órganos especificados,1B12.Y - Otra tuberculosis de otros sistemas u órganos especificados
1B13,Tuberculosis miliar,1B13 - Tuberculosis miliar
1B13.0,Tuberculosis miliar aguda de un sitio especificado único,1B13.0 - Tuberculosis miliar aguda de un sitio especificado único
1B13.1,Tuberculosis miliar aguda de sitios múltiples,1B13.1 - Tuberculosis miliar aguda de sitios múltiples
1B13.2,"Tuberculosis miliar aguda, sitio sin especificación","1B13.2 - Tuberculosis miliar aguda, sitio sin especificación"
1B13.Y,Otra tuberculosis miliar especificada,1B13.Y - Otra tuberculosis miliar especificada
1B13.Z,"Tuberculosis miliar, sin especificación","1B13.Z - Tuberculosis miliar, sin especificación"
1B14,Tuberculosis latente,1B14 - Tuberculosis latente
1B1Y,Otra tuberculosis especificada,1B1Y - Otra tuberculosis especificada
1B1Z,"Tuberculosis, sin especificación","1B1Z - Tuberculosis, sin especificación"
1B20,Lepra,1B20 - Lepra
1B20.0,Lepra paucibacilar,1B20.0 - Lepra paucibacilar
1B20.1,Lepra multibacilar,1B20.1 - Lepra multibacilar
1B20.2,Reacciones de la lepra,1B20.2 - Reacciones de la lepra
1B20.20,Reacción de la lepra de tipo I,1B20.20 - Reacción de la lepra de tipo I
1B20.21,Reacción de lepra de tipo II,1B20.21 - Reacción de lepra de tipo II
1B20.3,Complicaciones de la lepra,1B20.3 - Complicaciones de la lepra
1B20.Z,"Lepra, sin especificación","1B20.Z - Lepra, sin especificación"
1B21,Infecciones por micobacterias no tuberculosas,1B21 - Infecciones por micobacterias no tuberculosas
1B21.0,Infección pulmonar debida a micobacteria no tuberculosa,1B21.0 - Infección pulmonar debida a micobacteria no tuberculosa
1B21.1,Linfadenitis micobacteriana no tuberculosa,1B21.1 - Linfadenitis micobacteriana no tuberculosa
1B21.2,Infección cutánea micobacteriana no tuberculosa,1B21.2 - Infección cutánea micobacteriana no tuberculosa
1B21.20,Infección por Mycobacterium ulcerans,1B21.20 - Infección por Mycobacterium ulcerans
1B21.2Y,Otra infección cutánea micobacteriana no tuberculosa especificada,1B21.2Y - Otra infección cutánea micobacteriana no tuberculosa especificada
1B21.2Z,"Infección cutánea micobacteriana no tuberculosa, sin especificación","1B21.2Z - Infección cutánea micobacteriana no tuberculosa, sin especificación"
1B21.3,Infección micobacterial no tuberculosa diseminada,1B21.3 - Infección micobacterial no tuberculosa diseminada
1B21.4,Infección gastrointestinal micobacteriana no tuberculosa,1B21.4 - Infección gastrointestinal micobacteriana no tuberculosa
1B21.Y,Otras infecciones especificadas por micobacterias no tuberculosas,1B21.Y - Otras infecciones especificadas por micobacterias no tuberculosas
1B21.Z,"Infecciones por micobacterias no tuberculosas, sin especificación","1B21.Z - Infecciones por micobacterias no tuberculosas, sin especificación"
1B2Y,Otras enfermedades micobacterianas especificadas,1B2Y - Otras enfermedades micobacterianas especificadas
1B2Z,"Enfermedades micobacterianas, sin especificación","1B2Z - Enfermedades micobacterianas, sin especificación"
1B40,Fiebre reumática aguda sin mención de complicación cardíaca,1B40 - Fiebre reumática aguda sin mención de complicación cardíaca
1B40.0,"Artritis reumática, aguda o subaguda","1B40.0 - Artritis reumática, aguda o subaguda"
1B40.Y,Otra fiebre reumática especificada sin mención de complicación cardíaca,1B40.Y - Otra fiebre reumática especificada sin mención de complicación cardíaca
1B40.Z,"Fiebre reumática sin mención de complicación cardíaca, sin especificación","1B40.Z - Fiebre reumática sin mención de complicación cardíaca, sin especificación"
1B41,Fiebre reumática aguda con afectación cardíaca,1B41 - Fiebre reumática aguda con afectación cardíaca
1B41.0,Pericarditis reumática aguda,1B41.0 - Pericarditis reumática aguda
1B41.1,Endocarditis reumática aguda,1B41.1 - Endocarditis reumática aguda
1B41.10,Aortitis reumática,1B41.10 - Aortitis reumática
1B41.1Y,Otra endocarditis reumática aguda especificada,1B41.1Y - Otra endocarditis reumática aguda especificada
1B41.1Z,"Endocarditis reumática aguda, sin especificación","1B41.1Z - Endocarditis reumática aguda, sin especificación"
1B41.2,Miocarditis reumática aguda,1B41.2 - Miocarditis reumática aguda
1B41.Y,Otra fiebre reumática aguda con afectación cardíaca especificada,1B41.Y - Otra fiebre reumática aguda con afectación cardíaca especificada
1B41.Z,"Fiebre reumática aguda con afectación cardíaca, sin especificación","1B41.Z - Fiebre reumática aguda con afectación cardíaca, sin especificación"
1B42,Corea reumática,1B42 - Corea reumática
1B50,Escarlatina,1B50 - Escarlatina
1B51,Faringitis estreptocócica,1B51 - Faringitis estreptocócica
1B53,Meningitis debida a Estreptococo,1B53 - Meningitis debida a Estreptococo
1B54,Meningitis debida a Estafilococo,1B54 - Meningitis debida a Estafilococo
1B5Y,Algunas otras enfermedades estafilocócicas o estreptocócicas especificadas,1B5Y - Algunas otras enfermedades estafilocócicas o estreptocócicas especificadas
1B5Z,"Algunas enfermedades estafilocócicas o estreptocócicas, sin especificación","1B5Z - Algunas enfermedades estafilocócicas o estreptocócicas, sin especificación"
1B70,"Celulitis bacteriana, erisipelas o linfangitis","1B70 - Celulitis bacteriana, erisipelas o linfangitis"
1B70.0,Erisipela,1B70.0 - Erisipela
1B70.00,Erisipela de la cara,1B70.00 - Erisipela de la cara
1B70.01,Erisipela del oído externo,1B70.01 - Erisipela del oído externo
1B70.02,Erisipela del miembro inferior,1B70.02 - Erisipela del miembro inferior
1B70.0Y,Otra erisipela especificada,1B70.0Y - Otra erisipela especificada
1B70.0Z,"Erisipela, sin especificación","1B70.0Z - Erisipela, sin especificación"
1B70.1,Celulitis estreptocócica de la piel,1B70.1 - Celulitis estreptocócica de la piel
1B70.2,Celulitis estafilocócica de la piel,1B70.2 - Celulitis estafilocócica de la piel
1B70.3,Linfangitis bacteriana ascendente,1B70.3 - Linfangitis bacteriana ascendente
1B70.Y,"Otra celulitis bacteriana, erisipela o linfangitis especificada","1B70.Y - Otra celulitis bacteriana, erisipela o linfangitis especificada"
1B70.Z,"Celulitis bacteriana, erisipela o linfangitis, sin especificación","1B70.Z - Celulitis bacteriana, erisipela o linfangitis, sin especificación"
1B71,Fascitis necrosante,1B71 - Fascitis necrosante
1B71.0,Fascitis necrosante estreptocócica,1B71.0 - Fascitis necrosante estreptocócica
1B71.1,Fascitis necrosante polimicrobiana,1B71.1 - Fascitis necrosante polimicrobiana
1B71.2,Fascitis necrosante neonatal,1B71.2 - Fascitis necrosante neonatal
1B71.Y,Otra fascitis necrosante especificada,1B71.Y - Otra fascitis necrosante especificada
1B71.Z,"Fascitis necrosante, sin especificación","1B71.Z - Fascitis necrosante, sin especificación"
1B72,Impétigo,1B72 - Impétigo
1B72.0,Impétigo vesicular,1B72.0 - Impétigo vesicular
1B72.1,Impétigo no ampolloso,1B72.1 - Impétigo no ampolloso
1B72.2,Impetiginación secundaria de la piel,1B72.2 - Impetiginación secundaria de la piel
1B72.Y,Otro impétigo especificado,1B72.Y - Otro impétigo especificado
1B72.Z,"Impétigo, sin especificación","1B72.Z - Impétigo, sin especificación"
1B73,Ectima,1B73 - Ectima
1B73.0,Ectima estreptocócico,1B73.0 - Ectima estreptocócico
1B73.1,Ectima estafilocócico,1B73.1 - Ectima estafilocócico
1B73.2,Ectima gangrenoso,1B73.2 - Ectima gangrenoso
1B73.Y,Otro ectima especificado,1B73.Y - Otro ectima especificado
1B73.Z,"Ectima, sin especificación","1B73.Z - Ectima, sin especificación"
1B74,Foliculitis bacteriana superficial,1B74 - Foliculitis bacteriana superficial
1B74.0,Foliculitis superficial por Staphylococcus aureus,1B74.0 - Foliculitis superficial por Staphylococcus aureus
1B74.Y,Otra foliculitis bacteriana superficial especificada,1B74.Y - Otra foliculitis bacteriana superficial especificada
1B74.Z,"foliculitis bacteriana superficial, sin especificación","1B74.Z - foliculitis bacteriana superficial, sin especificación"
1B75,Foliculitis bacteriana profunda o absceso piógeno de la piel,1B75 - Foliculitis bacteriana profunda o absceso piógeno de la piel
1B75.0,Forúnculo,1B75.0 - Forúnculo
1B75.1,Ántrax,1B75.1 - Ántrax
1B75.2,Forunculosis,1B75.2 - Forunculosis
1B75.3,Absceso piógeno de la piel,1B75.3 - Absceso piógeno de la piel
1B75.4,Foliculitis bacteriana profunda crónica,1B75.4 - Foliculitis bacteriana profunda crónica
1B75.Z,"Foliculitis bacteriana profunda o absceso piógeno de la piel, sin especificación","1B75.Z - Foliculitis bacteriana profunda o absceso piógeno de la piel, sin especificación"
1B7Y,Otras infecciones bacterianas piógenas especificadas de la piel o de los tejidos subcutáneos,1B7Y - Otras infecciones bacterianas piógenas especificadas de la piel o de los tejidos subcutáneos
1B7Z,"Infecciones bacterianas piógenas de la piel o de los tejidos subcutáneos, sin especificación","1B7Z - Infecciones bacterianas piógenas de la piel o de los tejidos subcutáneos, sin especificación"
1B90,Fiebres por mordedura de rata,1B90 - Fiebres por mordedura de rata
1B90.0,Espirilosis,1B90.0 - Espirilosis
1B90.1,Estreptobacilosis,1B90.1 - Estreptobacilosis
1B91,Leptospirosis,1B91 - Leptospirosis
1B92,Muermo,1B92 - Muermo
1B93,Peste,1B93 - Peste
1B93.0,Peste bubónica,1B93.0 - Peste bubónica
1B93.1,Peste celulocutánea,1B93.1 - Peste celulocutánea
1B93.2,Peste neumónica,1B93.2 - Peste neumónica
1B93.3,Meningitis pestosa,1B93.3 - Meningitis pestosa
1B93.Y,Otra peste especificada,1B93.Y - Otra peste especificada
1B93.Z,"Peste, sin especificación","1B93.Z - Peste, sin especificación"
1B94,Tularemia,1B94 - Tularemia
1B94.0,Tularemia ulceroglandular,1B94.0 - Tularemia ulceroglandular
1B94.Y,Otra tularemia especificada,1B94.Y - Otra tularemia especificada
1B94.Z,"Tularemia, sin especificación","1B94.Z - Tularemia, sin especificación"
1B95,Brucelosis,1B95 - Brucelosis
1B96,Erisipeloide,1B96 - Erisipeloide
1B97,Ántrax,1B97 - Ántrax
1B98,Enfermedad por arañazo de gato,1B98 - Enfermedad por arañazo de gato
1B99,Pasteurelosis,1B99 - Pasteurelosis
1B9A,Yersiniosis extraintestinal,1B9A - Yersiniosis extraintestinal
1B9Z,"Algunas enfermedades zoonóticas, sin especificación","1B9Z - Algunas enfermedades zoonóticas, sin especificación"
1C10,Actinomicosis,1C10 - Actinomicosis
1C10.0,Actinomicosis pulmonar,1C10.0 - Actinomicosis pulmonar
1C10.1,Actinomicosis abdominal,1C10.1 - Actinomicosis abdominal
1C10.2,Actinomicosis cervicofacial,1C10.2 - Actinomicosis cervicofacial
1C10.3,Actinomicosis cutánea primaria,1C10.3 - Actinomicosis cutánea primaria
1C10.Y,Otras formas especificadas de actinomicosis,1C10.Y - Otras formas especificadas de actinomicosis
1C10.Z,"Actinomicosis, sin especificación","1C10.Z - Actinomicosis, sin especificación"
1C11,Bartonelosis,1C11 - Bartonelosis
1C11.0,Enfermedad de Carrión,1C11.0 - Enfermedad de Carrión
1C11.00,Fiebre de La Oroya,1C11.00 - Fiebre de La Oroya
1C11.01,Verruga peruana,1C11.01 - Verruga peruana
1C11.1,Fiebre de las trincheras,1C11.1 - Fiebre de las trincheras
1C11.Y,Otras bartonelosis especificadas,1C11.Y - Otras bartonelosis especificadas
1C11.Z,"Bartonelosis, sin especificación","1C11.Z - Bartonelosis, sin especificación"
1C12,Tos ferina,1C12 - Tos ferina
1C12.0,Tos ferina por Bordetella pertussis,1C12.0 - Tos ferina por Bordetella pertussis
1C12.1,Tos ferina debida a Bordetella parapertussis,1C12.1 - Tos ferina debida a Bordetella parapertussis
1C12.Y,Otra tos ferina especificada,1C12.Y - Otra tos ferina especificada
1C12.Z,"Tos ferina, sin especificación","1C12.Z - Tos ferina, sin especificación"
1C13,Tétanos,1C13 - Tétanos
1C14,Tétanos obstétrico,1C14 - Tétanos obstétrico
1C15,Tétanos neonatal,1C15 - Tétanos neonatal
1C16,Gangrena gaseosa,1C16 - Gangrena gaseosa
1C17,Difteria,1C17 - Difteria
1C17.0,Difteria faríngea o tonsilar,1C17.0 - Difteria faríngea o tonsilar
1C17.00,Parálisis posdiftérica de la úvula,1C17.00 - Parálisis posdiftérica de la úvula
